ad,marka,fiyat,indirimli_fiyat,indirim_orani,site,url,kategori,zaman,tarih,analiz_fiyati,cinsiyet
Anzarun Lite Beyaz Kadın Sneaker,Puma,35001000.0,3399.0,100.0,FLO,https://www.flo.com.tr/urun/puma-anzarun-lite-beyaz-kadin-sneaker-102266549,Kadın Spor Ayakkabı,2026-06-20 18:40:47,2026-06-20,3399.0,Kadın
W  DOWNSHIFTER 14 Beyaz Kadın Koşu Ayakkabısı,Nike,35001000.0,3399.0,100.0,FLO,https://www.flo.com.tr/urun/nike-w-nike-downshifter-14-beyaz-kadin-kosu-ayakkabisi-102688479,Kadın Spor Ayakkabı,2026-06-20 18:40:47,2026-06-20,3399.0,Kadın
Omni Multi-Court Beyaz Unisex Voleybol Ayakkabısı,Nike,35001000.0,3399.0,100.0,FLO,https://www.flo.com.tr/urun/nike-nike-omni-multi-court-beyaz-unisex-voleybol-ayakkabisi-102233644,Kadın Spor Ayakkabı,2026-06-20 18:40:47,2026-06-20,3399.0,Kadın
REVOLUTION 8 Haki Erkek Koşu Ayakkabısı,Nike,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/nike-nike-revolution-8-haki-erkek-kosu-ayakkabisi-102688449,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,3599.0,Erkek
VAPOR 16 CLUB TF Mavi Erkek Halı Saha Ayakkabısı,Nike,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/nike-vapor-16-club-tf-mavi-erkek-hali-saha-ayakkabisi-102688390,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,3599.0,Erkek
F50 CLUB TF Sarı Erkek Halı Saha Ayakkabısı,adidas,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-f50-club-tf-sari-erkek-hali-saha-ayakkabisi-102688242,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,3599.0,Erkek
W  REVOLUTION 8 Siyah Kadın Koşu Ayakkabısı,Nike,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/nike-w-nike-revolution-8-siyah-kadin-kosu-ayakkabisi-102688446,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,3599.0,Kadın
F50 CLUB FG/MG Siyah Erkek Krampon,adidas,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-f50-club-fgmg-siyah-erkek-krampon-102688245,Erkek Spor Ayakkabı,2026-06-20 18:40:19,2026-06-20,3599.0,Erkek
F50 CLUB TF Siyah Erkek Halı Saha Ayakkabısı,adidas,35001000.0,3599.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-f50-club-tf-siyah-erkek-hali-saha-ayakkabisi-102688243,Erkek Spor Ayakkabı,2026-06-20 18:40:19,2026-06-20,3599.0,Erkek
COURTBLOCK Beyaz Erkek Sneaker,adidas,35001000.0,3799.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-courtblock-beyaz-erkek-sneaker-101906165,Erkek Spor Ayakkabı,2026-06-20 18:40:19,2026-06-20,3799.0,Erkek
ULTIMASHOW 2.0 Beyaz Kadın Koşu Ayakkabısı,adidas,35001000.0,3799.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-ultimashow-20-beyaz-kadin-kosu-ayakkabisi-101909420,Kadın Spor Ayakkabı,2026-06-20 18:40:47,2026-06-20,3799.0,Kadın
GRAND COURT BASE 2.0 Beyaz Erkek Sneaker,adidas,35001000.0,3899.0,100.0,FLO,https://www.flo.com.tr/urun/adidas-grand-court-base-20-beyaz-erkek-sneaker-101344588,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,3899.0,Erkek
