ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,zaman,site,tarih,analiz_fiyati,cinsiyet
Kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,5999.99,2599.99,56.7,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-sneaker-25sfe495714,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2599.99,Kadın
Kadın gümüş bağcıklı kalın tabanlı metalik sneaker,Derimod,4999.99,2199.99,56.0,https://derimod.com.tr/products/kadin-gumus-bagcikli-kalin-tabanli-metalik-sneaker-25sfd431032,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2199.99,Kadın
Acbc x derimod erkek vizon bağcıklı sneaker,Derimod,4999.99,2199.99,56.0,https://derimod.com.tr/products/acbc-x-derimod-erkek-siyah-bagcikli-sneaker-25sfd78016f,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2199.99,Erkek
Derimod zero kadın bej desenli kalın tabanlı sneaker,Derimod,4749.99,2099.99,55.8,https://derimod.com.tr/products/derimod-zero-kadin-bej-desenli-kalin-tabanli-sneaker-25sfd43036f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2099.99,Kadın
Derimod zero kadın siyah bağcıklı sneaker,Derimod,3999.99,1799.99,55.0,https://derimod.com.tr/products/derimod-zero-kadin-gri-bagcikli-sneaker-25sfd43016f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,1799.99,Kadın
Derimod zero kadın gri bağcıklı sneaker,Derimod,3999.99,1799.99,55.0,https://derimod.com.tr/products/derimod-zero-kadin-siyah-bagcikli-sneaker-25sfd43016f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,1799.99,Kadın
Derimod zero kadın krem bağcıklı kumaş sneaker,Derimod,5999.99,2699.99,55.0,https://derimod.com.tr/products/derimod-zero-kadin-gri-bagcikli-kumas-sneaker-25sfe49566f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2699.99,Kadın
Derimod zero kadın gri bağcıklı kumaş sneaker,Derimod,5999.99,2699.99,55.0,https://derimod.com.tr/products/derimod-zero-kadin-krem-bagcikli-kumas-sneaker-25sfe49566f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2699.99,Kadın
Erkek gri bağcıklı kalın tabanlı kumaş sneaker,Derimod,7499.99,3499.99,53.3,https://derimod.com.tr/products/erkek-siyah-bagcikli-kalin-tabanli-kumas-sneaker-25sfd69416f,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,3499.99,Erkek
Erkek siyah kalın tabanlı bağcıklı kumaş sneaker,Derimod,7499.99,3499.99,53.3,https://derimod.com.tr/products/erkek-siyah-kalin-tabanli-bagcikli-kumas-sneaker-25sfd695414,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,3499.99,Erkek
