site,Urun_Sayisi,Ortalama_Fiyat,En_Ucuz,En_Pahali,Ortalama_Indirim,Indirimli_Urun_Sayisi
Ayakkabı Dünyası,3500,4026.6,759.99,9999.99,-0.31,0
Derimod,3356,4332.62,1499.99,7999.99,15.64,1603
FLO,681,2428.11,799.99,6199.0,6.26,144
InStreet,142,3634.99,899.99,4999.0,0.79,4
